cid	glytoucan	siid
CID91846287	G44046WQ	SID252277340
CID91846289	G59406KS	SID252277342
CID91846296	G75896PD	SID252277351
CID91846304	G20966TZ	SID252277359
CID91846311	G62808KR	SID252277367
CID91846312	G91068DJ	SID252277368
CID91846316	G51490BW	SID252277372
CID91846317	G58990QD	SID252277373
CID91846323	G43804GS	SID252277381
CID91846326	G78391CU	SID252277385
CID91846343	G33129LQ	SID252277403
CID91846344	G21380FF	SID252277404
CID91846358	G96834JC	SID252277419
CID91846363	G42325VD	SID252277424
CID91846373	G19822MG	SID252277435
CID91846375	G73760YR	SID252277437
CID91846378	G31627MW	SID252277440
CID91846381	G34853GU	SID252277444
CID91846391	G08896RO	SID252277454
CID91846395	G52080EW	SID252277459
CID91846406	G97051EO	SID252277477
CID91846407	G41424HD	SID252277479
CID91846414	G46763GM	SID252277487
CID91846437	G32364DF	SID252277516
CID91846441	G35350DS	SID252277521
CID91846456	G32252UW	SID252277538
CID91846460	G15216UP	SID252277542
CID91846461	G45673KX	SID252277543
CID91846463	G96738MG	SID252277545
CID91846474	G31616YD	SID252277557
CID91846484	G76907BP	SID252277570
CID91846485	G90017UO	SID252277571
CID91846490	G90825UM	SID252277576
CID91846495	G91388QD	SID252277582
CID91846499	G64803AP	SID252277586
CID91846506	G95919TI	SID252277596
CID91846518	G02284UY	SID252277613
CID91846525	G21319HP	SID252277620
CID91846538	G35837ET	SID252277633
CID91846540	G87124HX	SID252277639
CID91846541	G52160KJ	SID252277640
CID91846546	G70958LU	SID252277648
CID91846550	G61519GA	SID252277652
CID91846580	G56263MG	SID252277690
CID91846583	G35747ZX	SID252277693
CID91846595	G95014LS	SID252277710
CID91846602	G05811XG	SID252277718
CID91846626	G16441MS	SID252277748
CID91846632	G19022QG	SID252277755
CID91846640	G74120DW	SID252277764
CID91846642	G79298QI	SID252277767
CID91846647	G04989WY	SID252277773
CID91846649	G13909GK	SID252277775
CID91846650	G78306GH	SID252277776
CID91846653	G51921XC	SID252277779
CID91846658	G93906VI	SID252277788
CID91846663	G70511VE	SID252277793
CID91846669	G64827NU	SID252277800
CID91846685	G57777LQ	SID252289283
CID91846685	G91127OX	SID252277819
CID91846686	G67328UY	SID252277820
CID91846694	G79215ZS	SID252277828
CID91846697	G83106XM	SID252277832
CID91846713	G09682KX	SID252277850
CID91846714	G11994QC	SID252277851
CID91846729	G65223RT	SID252277868
CID91846735	G83001FQ	SID252277874
CID91846737	G91404LJ	SID252277876
CID91846742	G04535LS	SID252277881
CID91846747	G08776GA	SID252277886
CID91846751	G16759KR	SID252277890
CID91846754	G36824BJ	SID252277893
CID91846755	G37974GN	SID252277894
CID91846756	G44809MP	SID252277895
CID91846758	G57051OG	SID252277897
CID91846764	G81528UX	SID252277904
CID91846765	G86117ZB	SID252277905
CID91846767	G03106MF	SID252277908
CID91846768	G07136WT	SID252277909
CID91846775	G63754TT	SID252277917
CID91846780	G82106UN	SID252277923
CID91846782	G49401CB	SID252277927
CID91846789	G53667CH	SID252277934
CID91846801	G38208CY	SID252277947
CID91846811	G39595CR	SID252277960
CID91846832	G88582ZD	SID252277984
CID91846835	G63664GB	SID252277987
CID91846840	G84891DZ	SID252277993
CID91846843	G38753OV	SID252277996
CID91846853	G19555CW	SID252278007
CID91846859	G32094CS	SID252278016
CID91846860	G53296VI	SID252278017
CID91846861	G93553MJ	SID252278018
CID91846863	G23626NI	SID252278021
CID91846866	G89615SV	SID252278026
CID91846869	G54499PQ	SID252278029
CID91846871	G77639OD	SID252278031
CID91846883	G19242QH	SID252278044
CID91846884	G69500TM	SID252278046
CID91846887	G18082CO	SID252278049
CID91846904	G81294ZY	SID252278069
CID91846924	G67740CH	SID252278094
CID91846936	G92777SG	SID252278108
CID91846938	G72348PK	SID252278110
CID91846940	G77285LE	SID252278112
CID91846950	G25140TA	SID252278123
CID91846951	G04099VY	SID252278126
CID91846957	G40948NW	SID252278134
CID91846961	G03049NB	SID252278139
CID91846967	G89864BN	SID252278146
CID91846968	G87457SB	SID252278147
CID91846992	G03509EL	SID252278174
CID91847001	G09859LE	SID252278184
CID91847006	G14543IY	SID252278190
CID91847016	G82730QA	SID252278204
CID91847017	G18687CN	SID252278205
CID91847031	G03361KC	SID252278222
CID91847047	G31385PY	SID252278242
CID91847052	G82773SI	SID252278250
CID91847063	G63505TP	SID252278264
CID91847068	G87877ES	SID252278271
CID91847077	G36699PG	SID252278283
CID91847092	G90790SM	SID252278301
CID91847095	G52428MJ	SID252278306
CID91847097	G28566CQ	SID252278309
CID91847100	G79446WY	SID252278312
CID91847108	G16828VN	SID252278322
CID91847115	G35718GY	SID252278332
CID91847117	G54953LX	SID252278334
CID91847128	G02646YL	SID252278348
CID91847132	G91079GH	SID252278353
CID91847137	G79713BZ	SID252278359
CID91847141	G90469OY	SID252278364
CID91847165	G25350TT	SID252278394
CID91847168	G16743OM	SID252278397
CID91847190	G03067VG	SID252278423
CID91847191	G10182XZ	SID252278424
CID91847193	G12802HY	SID252278426
CID91847197	G35823EX	SID252278431
CID91847198	G36749ZK	SID252278432
CID91847200	G46774NB	SID252278434
CID91847202	G56271TF	SID252278436
CID91847204	G73136IM	SID252278440
CID91847206	G85159UF	SID252278443
CID91847212	G44865OQ	SID252278453
CID91847218	G81793BO	SID252278459
CID91847235	G82487CR	SID252278477
CID91847236	G36498HE	SID252278478
CID91847241	G36303CE	SID252278485
CID91847265	G39377DE	SID252278513
CID91847271	G31249PS	SID252278521
CID91847279	G11745XZ	SID252278529
CID91847291	G31822CM	SID252278545
CID91847293	G27149SR	SID252278547
CID91847298	G12631FF	SID252278552
CID91847302	G61386ZX	SID252278556
CID91847307	G04576KS	SID252278562
CID91847310	G76548SO	SID252278565
CID91847342	G85106DS	SID252278602
CID91847351	G89333WS	SID252278613
CID91847357	G27243GN	SID252278621
CID91847366	G99270AV	SID252278632
CID91847368	G17652NI	SID252278638
CID91847371	G52904TE	SID252278642
CID91847383	G88122ZQ	SID252278658
CID91847398	G99629BM	SID252278676
CID91847406	G74645FT	SID252278685
CID91847409	G02441OB	SID252278688
CID91847411	G20662UG	SID252278690
CID91847413	G55561NA	SID252278692
CID91847428	G67612NO	SID252278707
CID91847435	G79804QG	SID252278717
CID91847447	G98490BN	SID252278733
CID91847448	G84368MT	SID252278735
CID91847469	G55979JS	SID252278760
CID91847477	G21521KS	SID252278769
CID91847493	G18132YR	SID252278788
CID91847502	G70881GL	SID252278800
CID91847505	G94394GK	SID252278804
CID91847512	G78519ZX	SID252278812
CID91847514	G02174FQ	SID252278814
CID91847523	G49854OS	SID252278827
CID91847526	G71451NN	SID252278833
CID91847531	G71606HZ	SID252278840
CID91847535	G69023SD	SID252278844
CID91847537	G67838AF	SID252278846
CID91847542	G34508UC	SID252278853
CID91847550	G75947FL	SID252278864
CID91847551	G88749TS	SID252278865
CID91847566	G30917DM	SID252278884
CID91847572	G00547ZN	SID252278893
CID91847573	G00503EE	SID252278894
CID91847575	G70947EQ	SID252278897
CID91847587	G74026TS	SID252278912
CID91847591	G73567NI	SID252278918
CID91847598	G84219QP	SID252278927
CID91847600	G44946WH	SID252278929
CID91847606	G19212IL	SID252278937
CID91847607	G24283IO	SID252278939
CID91847609	G30524AR	SID252278941
CID91847619	G70265CT	SID252278953
CID91847621	G81408RV	SID252278956
CID91847622	G82202JN	SID252278957
CID91847629	G04817LD	SID252278966
CID91847634	G42927HH	SID252278972
CID91847637	G53962WT	SID252278975
CID91847638	G72718TT	SID252278978
CID91847639	G77791EJ	SID252278979
CID91847644	G02021XC	SID252278984
CID91847648	G24420RT	SID252278989
CID91847654	G51862BI	SID252278996
CID91847657	G62592GA	SID252278999
CID91847661	G86388AX	SID252279003
CID91847672	G36211GH	SID252279015
CID91847694	G72191AG	SID252279041
CID91847701	G94748CQ	SID252279051
CID91847708	G43301PF	SID252279064
CID91847713	G23718VU	SID252279069
CID91847722	G67079AO	SID252279078
CID91847731	G24111IY	SID252279090
CID91847734	G70708LW	SID252279093
CID91847738	G81561UL	SID252279098
CID91847747	G29159YJ	SID252279108
CID91847754	G23577TY	SID252279115
CID91847755	G16155TD	SID252279116
CID91847761	G44327JQ	SID252279122
CID91847769	G12438DW	SID252279131
CID91847776	G10487BH	SID252279138
CID91847795	G23782KP	SID252279159
CID91847801	G60482OT	SID252279166
CID91847811	G01296LJ	SID252279177
CID91847823	G01364ZC	SID252279191
CID91847826	G22865RK	SID252279195
CID91847827	G08066KX	SID252279197
CID91847830	G41780OY	SID252279202
CID91847836	G91023GB	SID252279214
CID91847852	G03021WA	SID252279232
CID91847866	G56809FB	SID252279249
CID91847867	G24151NT	SID252279250
CID91847874	G00176HZ	SID252279257
CID91847882	G82801WV	SID252279265
CID91847883	G41943OZ	SID252279266
CID91847888	G24769QK	SID252279271
CID91847894	G30998FW	SID252279277
CID91847922	G30901GC	SID252279310
CID91847923	G24030QV	SID252279311
CID91847926	G93802CF	SID252279314
CID91847927	G97455PT	SID252279317
CID91847928	G58387VB	SID252279319
CID91847938	G13836YR	SID252279332
CID91847947	G13688QP	SID252279341
CID91847953	G39035OI	SID252279348
CID91847955	G14998UC	SID252279351
CID91847956	G69159WK	SID252279352
CID91847959	G61334IA	SID252279355
CID91847960	G59742GY	SID252279356
CID91847961	G11658OG	SID252279357
CID91847963	G37304XT	SID252279360
CID91847972	G74928QN	SID252279371
CID91847974	G11535IB	SID252279374
CID91847975	G80650PW	SID252279375
CID91847979	G71063DT	SID252279380
CID91847985	G31531YC	SID252279388
CID91847992	G65239SF	SID252279396
CID91847999	G62504BU	SID252279404
CID91848008	G69794GX	SID252279414
CID91848009	G65597BI	SID252279415
CID91848012	G66866LE	SID252279418
CID91848016	G56181LZ	SID252279422
CID91848032	G99403QU	SID252279438
CID91848036	G33892UJ	SID252279442
CID91848048	G39299DH	SID252279456
CID91848060	G54956ME	SID252279471
CID91848080	G08474XG	SID252279496
CID91848088	G96251ED	SID252279507
CID91848099	G73836ED	SID252279524
CID91848121	G92024SL	SID252279550
CID91848123	G95427NV	SID252279553
CID91848124	G99829YW	SID252279554
CID91848126	G20030CU	SID252279556
CID91848132	G61351MP	SID252279563
CID91848134	G78890OB	SID252279565
CID91848167	G62464EH	SID252279605
CID91848175	G76705YY	SID252279614
CID91848184	G53096UD	SID252279624
CID91848187	G80163ME	SID252279627
CID91848194	G72698LT	SID252279636
CID91848195	G43657WC	SID252279637
CID91848197	G54513OG	SID252279639
CID91848198	G70520DS	SID252279640
CID91848227	G15998WM	SID252279683
CID91848232	G94809SW	SID252279688
CID91848235	G02483WT	SID252279691
CID91848242	G82209TY	SID252279699
CID91848245	G05402FG	SID252279702
CID91848246	G75757LG	SID252279703
CID91848267	G43475FH	SID252279729
CID91848271	G72662IG	SID252279733
CID91848276	G63166WT	SID252279738
CID91848280	G41352UL	SID252279743
CID91848284	G53396PX	SID252279748
CID91848287	G99770NO	SID252279752
CID91848292	G09393NL	SID252279757
CID91848293	G32758HZ	SID252279758
CID91848301	G72407WU	SID252279766
CID91848302	G17168RO	SID252279767
CID91848307	G42731RJ	SID252279772
CID91848323	G17029BL	SID252279792
CID91848333	G63100CN	SID252279806
CID91848341	G51050LD	SID252279815
CID91848349	G08561XZ	SID252279827
CID91848356	G79950YS	SID252279836
CID91848364	G87377KZ	SID252279844
CID91848379	G72334XM	SID252279864
CID91848382	G30739AG	SID252279867
CID91848387	G58827HR	SID252279872
CID91848389	G92848CF	SID252279874
CID91848395	G29797YX	SID252279880
CID91848402	G23546LY	SID252279887
CID91848403	G00320ZP	SID252279888
CID91848409	G87908HE	SID252279896
CID91848417	G53854XZ	SID252279905
CID91848434	G02679YX	SID252279927
CID91848436	G40027VO	SID252279929
CID91848444	G65070LF	SID252279939
CID91848445	G77939BF	SID252279940
CID91848446	G88321DT	SID252279941
CID91848473	G93148GC	SID252279975
CID91848474	G64803HZ	SID252279976
CID91848476	G47690ND	SID252279978
CID91848481	G78894EE	SID252279983
CID91848482	G96175KT	SID252279984
CID91848493	G39018CC	SID252279996
CID91848496	G45120SG	SID252279999
CID91848497	G18026EK	SID252280001
CID91848520	G09446VC	SID252280027
CID91848528	G58576QI	SID252280035
CID91848532	G10805TH	SID252280040
CID91848536	G19677EK	SID252280044
CID91848539	G32156ZV	SID252280049
CID91848540	G32216IU	SID252280050
CID91848556	G03564IA	SID252280068
CID91848557	G10295MW	SID252280070
CID91848561	G39478RR	SID252280076
CID91848564	G45777DE	SID252280079
CID91848566	G55143WF	SID252280083
CID91848581	G35429JB	SID252280103
CID91848586	G46662LV	SID252280108
CID91848587	G50398UZ	SID252280110
CID91848588	G52034SY	SID252280111
CID91848590	G64669AQ	SID252280113
CID91848591	G67286CI	SID252280115
CID91848594	G72085DL	SID252280118
CID91848597	G78961ZT	SID252280121
CID91848601	G61941WO	SID252280126
CID91848602	G16529MG	SID252280127
CID91848606	G57166CI	SID252280132
CID91848609	G64661YG	SID252280137
CID91848615	G94979RS	SID252280145
CID91848623	G49859TR	SID252280157
CID91848635	G28274SP	SID252280174
CID91848636	G63240YA	SID252280175
CID91848646	G55487DR	SID252280187
CID91848650	G96963QG	SID252280191
CID91848654	G39615UL	SID252280195
CID91848656	G96223WK	SID252280197
CID91848662	G70800WO	SID252280203
CID91848669	G46425HN	SID252280211
CID91848678	G18878GS	SID252280222
CID91848679	G05768VS	SID252280223
CID91848694	G77026KL	SID252280238
CID91848697	G44364RM	SID252280242
CID91848714	G43873MM	SID252280260
CID91848718	G57220BY	SID252280267
CID91848721	G60881ZO	SID252280271
CID91848731	G47606XQ	SID252280282
CID91848743	G17264LS	SID252280298
CID91848759	G14675SI	SID252280318
CID91848761	G72992IV	SID252280320
CID91848767	G42772WO	SID252280326
CID91848768	G43088GK	SID252280327
CID91848769	G14815WH	SID252280328
CID91848786	G74264KM	SID252280348
CID91848792	G78205EV	SID252280355
CID91848793	G97874DV	SID252280356
CID91848797	G78276SQ	SID252280360
CID91848805	G50364FV	SID252280368
CID91848820	G69187MR	SID252280384
CID91848827	G10816YX	SID252280393
CID91848834	G39569XI	SID252280403
CID91848843	G83717YJ	SID252280412
CID91848845	G81873QA	SID252280414
CID91848847	G67785RW	SID252280416
CID91848851	G60496TU	SID252280420
CID91848865	G62167DK	SID252280436
CID91848866	G17326TY	SID252280437
CID91848868	G38641UG	SID252280439
CID91848870	G63078AB	SID252280441
CID91848871	G40903ZD	SID252280442
CID91848877	G87507EP	SID252280448
CID91848883	G15448UB	SID252280454
CID91848885	G94850KK	SID252280456
CID91848887	G28962GO	SID252280460
CID91848895	G31604HF	SID252280470
CID91848896	G39687WG	SID252280471
CID91848899	G07689ET	SID252280474
CID91848905	G89865CB	SID252280482
CID91848909	G11052OE	SID252280488
CID91848910	G13974DV	SID252280489
CID91848917	G42556BP	SID252280496
CID91848921	G53809EF	SID252280501
CID91848930	G92567CF	SID252280510
CID91848936	G00662IB	SID252280516
CID91848937	G94163JZ	SID252280517
CID91848939	G75087EW	SID252280519
CID91848943	G84301XG	SID252280524
CID91848985	G03605BS	SID252280570
CID91848992	G73825BL	SID252280577
CID91848994	G48350AZ	SID252280581
CID91848997	G88708XF	SID252280584
CID91849008	G03445UI	SID252280595
CID91849014	G66257KQ	SID252280601
CID91849025	G50576GW	SID252280613
CID91849031	G49935CA	SID252280620
CID91849032	G88382QE	SID252280621
CID91849039	G18510JA	SID252280628
CID91849043	G95617FJ	SID252280633
CID91849046	G44264DI	SID252280637
CID91849056	G15317IZ	SID252280650
CID91849068	G03595ET	SID252280663
CID91849069	G18559VR	SID252280664
CID91849074	G86792SU	SID252280671
CID91849076	G97423PY	SID252280674
CID91849078	G03506YN	SID252280676
CID91849079	G04618ND	SID252280677
CID91849081	G10461TS	SID252280680
CID91849086	G17041CW	SID252280685
CID91849087	G19106CR	SID252280686
CID91849090	G37296SI	SID252280689
CID91849091	G39089YD	SID252280690
CID91849094	G43804CX	SID252280693
CID91849102	G85790MP	SID252280701
CID91849104	G94734OT	SID252280704
CID91849113	G98318PN	SID252280714
CID91849115	G23425OX	SID252280716
CID91849120	G14356TR	SID252280721
CID91849124	G50178BS	SID252280725
CID91849125	G27071PO	SID252280726
CID91849132	G19726AG	SID252280734
CID91849134	G47349YO	SID252280736
CID91849145	G96113SZ	SID252280751
CID91849158	G95994EE	SID252280767
CID91849173	G03075ZE	SID252280785
CID91849195	G86770JF	SID252280815
CID91849201	G21756MV	SID252280824
CID91849204	G98419CX	SID252280829
CID91849207	G86414FL	SID252280832
CID91849219	G55184GH	SID252280848
CID91849220	G78173WX	SID252280849
CID91849231	G11479AN	SID252280861
CID91849233	G31196DF	SID252280863
CID91849234	G19958IL	SID252280864
CID91849239	G85046IS	SID252280869
CID91849248	G00743WU	SID252280881
CID91849254	G60215UL	SID252280889
CID91849258	G16464LC	SID252280893
CID91849259	G32377GZ	SID252280894
CID91849260	G99382AP	SID252280895
CID91849271	G16768LX	SID252280906
CID91849279	G19158MO	SID252280916
CID91849282	G66728LX	SID252280920
CID91849296	G44904UE	SID252280938
CID91849312	G34931KK	SID252280954
CID91849325	G94423NC	SID252280969
CID91849326	G62553AU	SID252280970
CID91849332	G75709RV	SID252280978
CID91849334	G33241WC	SID252280980
CID91849337	G22898PA	SID252280983
CID91849350	G39764AC	SID252281000
CID91849359	G46767VX	SID252281010
CID91849363	G90884CI	SID252281016
CID91849373	G86906WK	SID252281029
CID91849374	G87656FV	SID252281030
CID91849391	G60736DD	SID252281049
CID91849414	G88417ED	SID252281074
CID91849415	G97123TW	SID252281075
CID91849438	G86582QF	SID252281103
CID91849451	G82420SH	SID252281120
CID91849468	G31423NL	SID252281139
CID91849474	G70076VV	SID252281145
CID91849475	G21939WK	SID252281146
CID91849477	G52120GQ	SID252281149
CID91849486	G39029JR	SID252281158
CID91849497	G45262QY	SID252281175
CID91849498	G50205RT	SID252281176
CID91849499	G50915WK	SID252281177
CID91849500	G52839BU	SID252281178
CID91849502	G62389NM	SID252281180
CID91849503	G62826CL	SID252281181
CID91849510	G01999JH	SID252281189
CID91849511	G04368OY	SID252281190
CID91849514	G14809NR	SID252281193
CID91849515	G18506AD	SID252281194
CID91849523	G54937EM	SID252281203
CID91849526	G76544YY	SID252281208
CID91849533	G18878GY	SID252281216
CID91849534	G27389SR	SID252281217
CID91849543	G21541CK	SID252292436
CID91849543	G63389BN	SID252281227
CID91849546	G66427ZQ	SID252281231
CID91849563	G26713RV	SID252281253
CID91849580	G41981MA	SID252281272
CID91849581	G48109OV	SID252281274
CID91849598	G61399JM	SID252281292
CID91849603	G36480VP	SID252281297
CID91849606	G92527BY	SID252281300
CID91849622	G86566TX	SID252281319
CID91849633	G36176RV	SID252281331
CID91849639	G96921ZU	SID252281337
CID91849641	G36855WW	SID252281339
CID91849661	G30483FB	SID252281362
CID91849670	G23347CS	SID252281372
CID91849674	G79215KX	SID252281376
CID91849679	G02471GW	SID252281381
CID91849692	G80153HF	SID252281394
CID91849708	G28436VD	SID252281410
CID91849715	G11696PX	SID252281419
CID91849728	G33433QA	SID252281434
CID91849738	G50809LR	SID252281444
CID91849743	G27385LP	SID252281449
CID91849747	G75825ZR	SID252281454
CID91849757	G33309GL	SID252281465
CID91849759	G74608QW	SID252281467
CID91849767	G80474MG	SID252281476
CID91849773	G56318NV	SID252281482
CID91849779	G68480EG	SID252281488
CID91849781	G46031NV	SID252281490
CID91849782	G11263YZ	SID252281492
CID91849794	G70374BH	SID252281504
CID91849796	G17758YV	SID252281506
CID91849801	G47566FL	SID252281514
CID91849802	G82942ZJ	SID252281515
CID91849811	G35734AU	SID252281524
CID91849813	G52882GL	SID252281526
CID91849817	G16344ZG	SID252281531
CID91849820	G07617FP	SID252281536
CID91849823	G07532ZA	SID252281539
CID91849825	G00287UD	SID252281541
CID91849834	G84718MC	SID252281551
CID91849836	G17153CQ	SID252281553
CID91849839	G85542KD	SID252281556
CID91849843	G46406BL	SID252281562
CID91849852	G26148PQ	SID252281574
CID91849860	G59471JC	SID252281587
CID91849867	G68765US	SID252281595
CID91849871	G41720HN	SID252281599
CID91849876	G58992VJ	SID252281606
CID91849889	G55360NR	SID252281623
CID91849896	G85953MG	SID252281634
CID91849898	G47108UC	SID252281636
CID91849902	G17540MV	SID252281642
CID91849908	G71812IK	SID252281650
CID91849915	G77553BJ	SID252281659
CID91849921	G00706AL	SID252281667
CID91849929	G84996EP	SID252281678
CID91849932	G25323VU	SID252281681
CID91849944	G78535NS	SID252281694
CID91849951	G13258AZ	SID252281702
CID91849973	G46461VY	SID252281725
CID91849978	G62380XZ	SID252281730
CID91849979	G63242HY	SID252281731
CID91849983	G88435TS	SID252281735
CID91849986	G03591CN	SID252281739
CID91849989	G22498IQ	SID252281744
CID91849990	G28146GV	SID252281746
CID91849994	G56285KF	SID252281751
CID91849998	G75178DV	SID252281757
CID91850008	G27844UM	SID252281769
CID91850025	G82945RR	SID252281787
CID91850026	G23000DQ	SID252281788
CID91850029	G72395MI	SID252281792
CID91850032	G86085BW	SID252281795
CID91850033	G64282SO	SID252281797
CID91850039	G76478FT	SID252281804
CID91850043	G33052SB	SID252281808
CID91850044	G42912TT	SID252281809
CID91850046	G58403SV	SID252281812
CID91850058	G30519DD	SID252281825
CID91850059	G74823CH	SID252281826
CID91850060	G95222PD	SID252281827
CID91850063	G39951CP	SID252281830
CID91850068	G23214KL	SID252281835
CID91850076	G62554JH	SID252281843
CID91850078	G67942CH	SID252281845
CID91850079	G29850BY	SID252281846
CID91850081	G49515VE	SID252281848
CID91850084	G94019IV	SID252281851
CID91850094	G23211XT	SID252281861
CID91850096	G30131YB	SID252281864
CID91850103	G14043TF	SID252281874
CID91850108	G60646UB	SID252281880
CID91850111	G24465EF	SID252281883
CID91850118	G03600YM	SID252281892
CID91850123	G65667PE	SID252281898
CID91850134	G06595MR	SID252281910
CID91850137	G61833XV	SID252281914
CID91850156	G84186YN	SID252281938
CID91850159	G73492AT	SID252281942
CID91850160	G86555OF	SID252281943
CID91850173	G76154QC	SID252281960
CID91850174	G79344MI	SID252281961
CID91850187	G26264SQ	SID252281982
CID91850208	G39976KS	SID252282007
CID91850212	G03277YI	SID252282012
CID91850220	G68801RI	SID252282022
CID91850226	G01414CL	SID252282029
CID91850249	G00395TQ	SID252282053
CID91850251	G33127ZT	SID252282055
CID91850256	G86696LV	SID252282060
CID91850258	G59300GC	SID252282062
CID91850260	G50068PO	SID252282064
CID91850263	G41928NU	SID252282068
CID91850274	G31175IC	SID252282081
CID91850284	G22976NF	SID252282091
CID91850303	G80193TN	SID252282115
CID91850305	G38549YL	SID252282117
CID91850310	G66655HQ	SID252282122
CID91850318	G26877ST	SID252282130
CID91850332	G11256DQ	SID252282145
CID91850336	G95490LA	SID252282151
CID91850346	G07699XI	SID252282162
CID91850361	G43346PX	SID252282183
CID91850368	G71888DL	SID252282191
CID91850370	G68639VP	SID252282193
CID91850375	G85458AY	SID252282198
CID91850376	G58473KL	SID252282199
CID91850377	G20009FG	SID252282203
CID91850383	G15828WB	SID252282210
CID91850384	G31668AP	SID252282212
CID91850387	G57338PU	SID252282218
CID91850396	G66847YI	SID252282229
CID91850405	G49508KM	SID252282238
CID91850407	G53002EK	SID252282240
CID91850413	G72821WX	SID252282247
CID91850419	G27478HS	SID252282255
CID91850420	G30395OK	SID252282256
CID91850422	G34527RW	SID252282258
CID91850426	G39437XQ	SID252282262
CID91850439	G08463CD	SID252282276
CID91850441	G11326RB	SID252282278
CID91850443	G23799GS	SID252282280
CID91850470	G18740DM	SID252282314
CID91850475	G41179DF	SID252282323
CID91850481	G89279YZ	SID252282333
CID91850486	G00413UF	SID252282338
CID91850496	G09650BK	SID252282350
CID91850517	G20983SP	SID252282373
CID91850519	G75120WS	SID252282376
CID91850526	G43648DB	SID252282384
CID91850545	G79646HD	SID252282407
CID91850548	G08465VN	SID252282411
CID91850549	G00797ZX	SID252282412
CID91850556	G75308SV	SID252282422
CID91850566	G45209NR	SID252282438
CID91850575	G21312EA	SID252282447
CID91850585	G07568IR	SID252282460
CID91850586	G00666EC	SID252282461
CID91850597	G60538YY	SID252282473
CID91850607	G65419YA	SID252282484
CID91850638	G91144VS	SID252282519
CID91850642	G88725FA	SID252282526
CID91850652	G75236EF	SID252282536
CID91850660	G24620AI	SID252282544
CID91850661	G46420ZV	SID252282545
CID91850679	G67447FX	SID252282568
CID91850685	G64615DY	SID252282576
CID91850701	G10694XU	SID252282593
CID91850707	G66995VS	SID252282600
CID91850717	G97185IQ	SID252282613
CID91850718	G14782PJ	SID252282614
CID91850720	G66661ZY	SID252282616
CID91850727	G95801EZ	SID252282625
CID91850730	G17689EW	SID252282630
CID91850731	G05378UG	SID252282631
CID91850735	G67574IL	SID252282635
CID91850736	G12230UX	SID252282636
CID91850737	G00910WD	SID252282637
CID91850746	G66723QO	SID252282648
CID91850761	G16961BB	SID252282665
CID91850776	G22137KZ	SID252282683
CID91850783	G94045IP	SID252282693
CID91850784	G86355AM	SID252282694
CID91850786	G63721FF	SID252282696
CID91850802	G17389EH	SID252282713
CID91850803	G95898GD	SID252282714
CID91850804	G43548LQ	SID252282715
CID91850809	G82779CI	SID252282721
CID91850813	G36581MF	SID252282725
CID91850814	G70874WW	SID252282726
CID91850818	G48330KH	SID252282730
CID91850819	G70898UD	SID252282732
CID91850822	G91511MZ	SID252282735
CID91850826	G24155DW	SID252282739
CID91850833	G45420PL	SID252282746
CID91850838	G62165LJ	SID252282753
CID91850839	G19075LN	SID252282754
CID91850853	G84020NP	SID252282771
CID91850857	G55065WV	SID252282776
CID91850862	G82252QI	SID252282783
CID91850872	G16523AO	SID252282794
CID91850874	G53858MF	SID252282797
CID91850882	G82312JY	SID252282805
CID91850884	G04715SK	SID252282808
CID91850886	G43014FZ	SID252282811
CID91850890	G61846BY	SID252282815
CID91850891	G69799LR	SID252282816
CID91850893	G71602GO	SID252282818
CID91850896	G78325SJ	SID252282821
CID91850898	G81960EK	SID252282823
CID91850903	G15280CB	SID252282831
CID91850905	G27809HS	SID252282833
CID91850907	G35199BM	SID252282836
CID91850908	G42737HJ	SID252282837
CID91850912	G56912OP	SID252282842
CID91850913	G56977BH	SID252282843
CID91850925	G98726UE	SID252282857
CID91850938	G46712PI	SID252282870
CID91850945	G70647TI	SID252282880
CID91850954	G59761EF	SID252282889
CID91850959	G96045AL	SID252282894
CID91850983	G47427YD	SID252282926
CID91850998	G16293AI	SID252282946
CID91851000	G08111FJ	SID252282948
CID91851001	G80264ZA	SID252282949
CID91851019	G93029JO	SID252282972
CID91851024	G61088TM	SID252282979
CID91851031	G00279YF	SID252282987
CID91851033	G03934XO	SID252282989
CID91851034	G07505DF	SID252282990
CID91851037	G30159WR	SID252282994
CID91851042	G52677OK	SID252283001
CID91851045	G73271AZ	SID252283007
CID91851047	G93500PH	SID252283009
CID91851049	G78885XB	SID252283011
CID91851050	G62097SF	SID252283012
CID91851056	G06635WE	SID252283018
CID91851060	G03951JJ	SID252283023
CID91851064	G19615BB	SID252283027
CID91851087	G68807DB	SID252283053
CID91851094	G09150LP	SID252283060
CID91851096	G04751OE	SID252283063
CID91851101	G51562OR	SID252283068
CID91851129	G29870RM	SID252283099
CID91851132	G75595FQ	SID252283102
CID91851140	G51138SQ	SID252283110
CID91851142	G19886LH	SID252283113
CID91851144	G85497PI	SID252283115
CID91851154	G37745NY	SID252283130
CID91851159	G70422TG	SID252283138
CID91851171	G37841WI	SID252283151
CID91851173	G28562FF	SID252283153
CID91851176	G48040FY	SID252283156
CID91851179	G73439VG	SID252283161
CID91851191	G27889FI	SID252283175
CID91851212	G86102AA	SID252283206
CID91851218	G70301QJ	SID252283212
CID91851219	G03250UN	SID252283213
CID91851233	G13335AQ	SID252283228
CID91851241	G23616ZX	SID252283236
CID91851253	G07380TS	SID252283251
