KEGGID	HMDBID
cpd:C00198	hmdb:HMDB00150
cpd:C00202	hmdb:HMDB14815
cpd:C00203	hmdb:HMDB00304
cpd:C00206	hmdb:HMDB01508
cpd:C00207	hmdb:HMDB01659
cpd:C00209	hmdb:HMDB02329
cpd:C00212	hmdb:HMDB00050
cpd:C00213	hmdb:HMDB00271
cpd:C00214	hmdb:HMDB00273
cpd:C00217	hmdb:HMDB03339
cpd:C00218	hmdb:HMDB00164
cpd:C00219	hmdb:HMDB01043
cpd:C00221	hmdb:HMDB00516
cpd:C00222	hmdb:HMDB11111
cpd:C00224	hmdb:HMDB01003
cpd:C00225	hmdb:HMDB33121
cpd:C00227	hmdb:HMDB01494
cpd:C00230	hmdb:HMDB01856
cpd:C00231	hmdb:HMDB00868
cpd:C00232	hmdb:HMDB01259
cpd:C00233	hmdb:HMDB00695
cpd:C00234	hmdb:HMDB00972
cpd:C00235	hmdb:HMDB01120
cpd:C00236	hmdb:HMDB01270
cpd:C00237	hmdb:HMDB01361
cpd:C00238	hmdb:HMDB00586
cpd:C00239	hmdb:HMDB01202
cpd:C00242	hmdb:HMDB00132
cpd:C00243	hmdb:HMDB00186
cpd:C00244	hmdb:HMDB02878
cpd:C00245	hmdb:HMDB00251
cpd:C00246	hmdb:HMDB00039
cpd:C00248	hmdb:HMDB00962
cpd:C00249	hmdb:HMDB00220
cpd:C00250	hmdb:HMDB01545
cpd:C00251	hmdb:HMDB12199
cpd:C00252	hmdb:HMDB02923
cpd:C00253	hmdb:HMDB01488
cpd:C00254	hmdb:HMDB12283
cpd:C00255	hmdb:HMDB00244
cpd:C00256	hmdb:HMDB01311
cpd:C00257	hmdb:HMDB00625
cpd:C00258	hmdb:HMDB00139
cpd:C00259	hmdb:HMDB00646
cpd:C00261	hmdb:HMDB06115
cpd:C00262	hmdb:HMDB00157
cpd:C00263	hmdb:HMDB00719
cpd:C00265	hmdb:HMDB13593
cpd:C00266	hmdb:HMDB03344
cpd:C00267	hmdb:HMDB03345
cpd:C00268	hmdb:HMDB02215
cpd:C00272	hmdb:HMDB00027
cpd:C00272	hmdb:HMDB00787
cpd:C00272	hmdb:HMDB59658
cpd:C00275	hmdb:HMDB01078
cpd:C00279	hmdb:HMDB01321
cpd:C00280	hmdb:HMDB00053
cpd:C00282	hmdb:HMDB01362
cpd:C00283	hmdb:HMDB03276
cpd:C00284	hmdb:HMDB15109
cpd:C00286	hmdb:HMDB01440
cpd:C00288	hmdb:HMDB00595
cpd:C00292	hmdb:HMDB03012
cpd:C00294	hmdb:HMDB00195
cpd:C00295	hmdb:HMDB00226
cpd:C00296	hmdb:HMDB03072
cpd:C00299	hmdb:HMDB00296
cpd:C00300	hmdb:HMDB00064
cpd:C00301	hmdb:HMDB01178
cpd:C00305	hmdb:HMDB00547
cpd:C00306	hmdb:HMDB04246
cpd:C00307	hmdb:HMDB01413
cpd:C00308	hmdb:HMDB02706
cpd:C00309	hmdb:HMDB00621
cpd:C00310	hmdb:HMDB01644
cpd:C00310	hmdb:HMDB03371
cpd:C00311	hmdb:HMDB00193
cpd:C00312	hmdb:HMDB00751
cpd:C00314	hmdb:HMDB00239
cpd:C00315	hmdb:HMDB01257
cpd:C00317	hmdb:HMDB03255
cpd:C00318	hmdb:HMDB00062
cpd:C00319	hmdb:HMDB00252
cpd:C00320	hmdb:HMDB00257
cpd:C00322	hmdb:HMDB00225
cpd:C00325	hmdb:HMDB01095
cpd:C00327	hmdb:HMDB00904
cpd:C00328	hmdb:HMDB00684
cpd:C00329	hmdb:HMDB01514
cpd:C00330	hmdb:HMDB00085
cpd:C00332	hmdb:HMDB01484
cpd:C00334	hmdb:HMDB00112
cpd:C00337	hmdb:HMDB00528
cpd:C00337	hmdb:HMDB03349
cpd:C00341	hmdb:HMDB01285
cpd:C00345	hmdb:HMDB01316
cpd:C00346	hmdb:HMDB00224
cpd:C00349	hmdb:HMDB01172
cpd:C00352	hmdb:HMDB01254
cpd:C00353	hmdb:HMDB04486
cpd:C00354	hmdb:HMDB01058
cpd:C00355	hmdb:HMDB00181
cpd:C00355	hmdb:HMDB00609
cpd:C00356	hmdb:HMDB01375
cpd:C00357	hmdb:HMDB01062
cpd:C00360	hmdb:HMDB00905
cpd:C00361	hmdb:HMDB00960
cpd:C00362	hmdb:HMDB01044
cpd:C00363	hmdb:HMDB01274
cpd:C00364	hmdb:HMDB01227
cpd:C00365	hmdb:HMDB01409
cpd:C00366	hmdb:HMDB00289
cpd:C00371	hmdb:HMDB12204
cpd:C00374	hmdb:HMDB01394
cpd:C00376	hmdb:HMDB01358
cpd:C00378	hmdb:HMDB00235
cpd:C00379	hmdb:HMDB02917
cpd:C00380	hmdb:HMDB00630
cpd:C00383	hmdb:HMDB00691
cpd:C00385	hmdb:HMDB00292
cpd:C00386	hmdb:HMDB00033
cpd:C00387	hmdb:HMDB00133
cpd:C00388	hmdb:HMDB00870
cpd:C00389	hmdb:HMDB05794
cpd:C00390	hmdb:HMDB01304
cpd:C00392	hmdb:HMDB00765
cpd:C00394	hmdb:HMDB03351
cpd:C00396	hmdb:HMDB03361
cpd:C00397	hmdb:HMDB14822
cpd:C00398	hmdb:HMDB00303
cpd:C00400	hmdb:HMDB03352
cpd:C00401	hmdb:HMDB00629
cpd:C00402	hmdb:HMDB06483
cpd:C00407	hmdb:HMDB00172
cpd:C00408	hmdb:HMDB00070
cpd:C00408	hmdb:HMDB00716
