Organisms	Organisms.1
aplc	Acanthaster planci (crown-of-thorns starfish)
sko	Saccoglossus kowalevskii (acorn worm)
dme	Drosophila melanogaster (fruit fly)
der	Drosophila erecta
dse	Drosophila sechellia
dsi	Drosophila simulans
dya	Drosophila yakuba
dan	Drosophila ananassae
dsr	Drosophila serrata
dpo	Drosophila pseudoobscura pseudoobscura
dpe	Drosophila persimilis
dmn	Drosophila miranda
dwi	Drosophila willistoni
dgr	Drosophila grimshawi
dmo	Drosophila mojavensis
daz	Drosophila arizonae
dnv	Drosophila navojoa
dhe	Drosophila hydei
dvi	Drosophila virilis
mde	Musca domestica (house fly)
lcq	Lucilia cuprina (Australian sheep blowfly)
aga	Anopheles gambiae (mosquito)
aag	Aedes aegypti (yellow fever mosquito)
aalb	Aedes albopictus (Asian tiger mosquito)
cqu	Culex quinquefasciatus (southern house mosquito)
ame	Apis mellifera (honey bee)
bim	Bombus impatiens (common eastern bumble bee)
bter	Bombus terrestris (buff-tailed bumblebee)
ccal	Ceratina calcarata (carpenter bee)
obb	Osmia bicornis bicornis
soc	Solenopsis invicta (red fire ant)
mpha	Monomorium pharaonis (pharaoh ant)
aec	Acromyrmex echinatior (Panamanian leafcutter ant)
acep	Atta cephalotes (leaf cutting ant)
pbar	Pogonomyrmex barbatus (red harvester ant)
vem	Vollenhovia emeryi
hst	Harpegnathos saltator (Jerdon's jumping ant)
dqu	Dinoponera quadriceps
cfo	Camponotus floridanus (Florida carpenter ant)
lhu	Linepithema humile (Argentine ant)
pgc	Pseudomyrmex gracilis
obo	Ooceraea biroi (clonal raider ant)
pcf	Polistes canadensis
nvi	Nasonia vitripennis (jewel wasp)
csol	Ceratosolen solmsi marchali
mdl	Microplitis demolitor
tca	Tribolium castaneum (red flour beetle)
dpa	Dendroctonus ponderosae (mountain pine beetle)
atd	Aethina tumida (small hive beetle)
nvl	Nicrophorus vespilloides
bmor	Bombyx mori (domestic silkworm)
bman	Bombyx mandarina (wild silkworm)
dpl	Danaus plexippus (monarch butterfly)
pmac	Papilio machaon (common yellow swallowtail)
prap	Pieris rapae (cabbage white)
haw	Helicoverpa armigera (cotton bollworm)
tnl	Trichoplusia ni (cabbage looper)
pxy	Plutella xylostella (diamondback moth)
api	Acyrthosiphon pisum (pea aphid)
dnx	Diuraphis noxia (Russian wheat aphid)
ags	Aphis gossypii (cotton aphid)
rmd	Rhopalosiphum maidis (corn leaf aphid)
btab	Bemisia tabaci (sweet potato whitefly)
clec	Cimex lectularius (bed bug)
phu	Pediculus humanus corporis (human body louse)
zne	Zootermopsis nevadensis
fcd	Folsomia candida
dpx	Daphnia pulex (common water flea)
pvm	Penaeus vannamei (Pacific white shrimp)
isc	Ixodes scapularis (black-legged tick)
tut	Tetranychus urticae (two-spotted spider mite)
dpte	Dermatophagoides pteronyssinus (European house dust mite)
cscu	Centruroides sculpturatus (bark scorpion)
ptep	Parasteatoda tepidariorum (common house spider)
cel	Caenorhabditis elegans (nematode)
cbr	Caenorhabditis briggsae
bmy	Brugia malayi (filaria)
loa	Loa loa (eye worm)
nai	Necator americanus
tsp	Trichinella spiralis
hro	Helobdella robusta
lgi	Lottia gigantea (owl limpet)
pcan	Pomacea canaliculata (golden apple snail)
crg	Crassostrea gigas (Pacific oyster)
myi	Mizuhopecten yessoensis (Yesso scallop)
obi	Octopus bimaculoides
lak	Lingula anatina
smm	Schistosoma mansoni
shx	Schistosoma haematobium
ovi	Opisthorchis viverrini
egl	Echinococcus granulosus
nve	Nematostella vectensis (starlet sea anemone)
epa	Exaiptasia diaphana
adf	Acropora digitifera (stony coral)
amil	Acropora millepora
pdam	Pocillopora damicornis (lace coral)
spis	Stylophora pistillata
dgt	Dendronephthya gigantea (soft corals)
hmg	Hydra vulgaris
tad	Trichoplax adhaerens
aqu	Amphimedon queenslandica (sponge)
ath	Arabidopsis thaliana (thale cress)
aly	Arabidopsis lyrata (lyrate rockcress)
crb	Capsella rubella
csat	Camelina sativa (false flax)
eus	Eutrema salsugineum
brp	Brassica rapa (field mustard)
bna	Brassica napus (rape)
boe	Brassica oleracea (wild cabbage)
rsz	Raphanus sativus (radish)
thj	Tarenaya hassleriana (spider flower)
cpap	Carica papaya (papaya)
cit	Citrus sinensis (Valencia orange)
cic	Citrus clementina (mandarin orange)
tcc	Theobroma cacao (cacao)
gra	Gossypium raimondii
ghi	Gossypium hirsutum (upland cotton)
gab	Gossypium arboreum
dzi	Durio zibethinus (durian)
egr	Eucalyptus grandis (rose gum)
gmx	Glycine max (soybean)
gsj	Glycine soja (wild soybean)
pvu	Phaseolus vulgaris (common bean)
vra	Vigna radiata (mung bean)
var	Vigna angularis (adzuki bean)
vun	Vigna unguiculata (cowpea)
ccaj	Cajanus cajan (pigeon pea)
mtr	Medicago truncatula (barrel medic)
cam	Cicer arietinum (chickpea)
lja	Lotus japonicus
adu	Arachis duranensis
aip	Arachis ipaensis
lang	Lupinus angustifolius (narrow-leaved blue lupine)
fve	Fragaria vesca (woodland strawberry)
rcn	Rosa chinensis (China rose)
pper	Prunus persica (peach)
pmum	Prunus mume (Japanese apricot)
pavi	Prunus avium (sweet cherry)
mdm	Malus domestica (apple)
pxb	Pyrus x bretschneideri (Chinese white pear)
zju	Ziziphus jujuba (Chinese jujube)
csv	Cucumis sativus (cucumber)
cmo	Cucumis melo (muskmelon)
mcha	Momordica charantia (bitter melon)
cmax	Cucurbita maxima (winter squash)
cmos	Cucurbita moschata (crookneck pumpkin)
cpep	Cucurbita pepo subsp. pepo (vegetable marrow)
rcu	Ricinus communis (castor bean)
jcu	Jatropha curcas
hbr	Hevea brasiliensis (rubber tree)
mesc	Manihot esculenta (cassava)
pop	Populus trichocarpa (black cottonwood)
