CHEBIID	KEGGID
chebi:31793	cpd:C12893
chebi:37187	cpd:C15234
chebi:3241	cpd:C08066
chebi:7826	cpd:C08075
chebi:4755	cpd:C08069
chebi:6924	cpd:C08070
chebi:30612	cpd:C00818
chebi:42819	cpd:C00679
chebi:30924	cpd:C00898
chebi:16064	cpd:C01187
chebi:28023	cpd:C03342
chebi:28326	cpd:C02928
chebi:38290	cpd:C00072
chebi:27438	cpd:C06241
chebi:29065	cpd:C03708
chebi:29006	cpd:C04015
chebi:28944	cpd:C04016
chebi:28999	cpd:C04017
chebi:29025	cpd:C03410
chebi:17886	cpd:C00558
chebi:12952	cpd:C00333
chebi:15748	cpd:C00191
chebi:28504	cpd:C06017
chebi:15886	cpd:C04573
chebi:28547	cpd:C05385
chebi:17117	cpd:C04053
chebi:88243	cpd:C02330
chebi:30624	cpd:C02024
chebi:21291	cpd:C01720
chebi:12931	cpd:C00880
chebi:28655	cpd:C03408
chebi:18391	cpd:C00257
chebi:38439	cpd:C01133
chebi:28148	cpd:C07638
chebi:13115	cpd:C00800
chebi:36602	cpd:C15673
chebi:17767	cpd:C00514
chebi:17796	cpd:C00770
chebi:17360	cpd:C00817
chebi:16157	cpd:C00878
chebi:16501	cpd:C00545
chebi:17773	cpd:C01685
chebi:16659	cpd:C00258
chebi:60331	cpd:C16699
chebi:28881	cpd:C02713
chebi:18027	cpd:C02004
chebi:43445	cpd:C02004
chebi:15602	cpd:C06326
chebi:6331	cpd:C05947
chebi:61509	cpd:C12986
chebi:15775	cpd:C00846
chebi:16845	cpd:C03972
chebi:30620	cpd:C03340
chebi:35121	cpd:C04411
chebi:16338	cpd:C03079
chebi:16953	cpd:C01042
chebi:17503	cpd:C06379
chebi:17652	cpd:C03066
chebi:18034	cpd:C01061
chebi:18317	cpd:C04390
chebi:27040	cpd:C01275
chebi:35181	cpd:C11355
chebi:44337	cpd:C00624
chebi:18327	cpd:C00439
chebi:17325	cpd:C03761
chebi:133924	cpd:C13811
chebi:15792	cpd:C00383
chebi:17453	cpd:C02170
chebi:17121	cpd:C00830
chebi:16452	cpd:C00036
chebi:64016	cpd:C02501
chebi:19298	cpd:C12833
chebi:58936	cpd:C06201
chebi:36986	cpd:C01732
chebi:29934	cpd:C00254
chebi:30934	cpd:C02612
chebi:30936	cpd:C02614
chebi:15801	cpd:C01087
chebi:16782	cpd:C03196
chebi:17081	cpd:C00922
chebi:17081	cpd:C00922
chebi:1178	cpd:C02504
chebi:17240	cpd:C00490
chebi:17560	cpd:C03210
chebi:15357	cpd:C03248
chebi:16810	cpd:C00026
chebi:17742	cpd:C01127
chebi:62213	cpd:C05946
chebi:17105	cpd:C01036
chebi:19373	cpd:C12835
chebi:19480	cpd:C16249
chebi:16468	cpd:C02222
chebi:16727	cpd:C02167
chebi:16854	cpd:C02514
chebi:16967	cpd:C03453
chebi:72701	cpd:C16588
chebi:30308	cpd:C00680
chebi:47031	cpd:C00666
chebi:15595	cpd:C00711
chebi:15588	cpd:C00497
chebi:15589	cpd:C00149
chebi:15596	cpd:C02887
chebi:15596	cpd:C02887
chebi:29806	cpd:C00122
chebi:17795	cpd:C00975
chebi:33196	cpd:C03961
chebi:17563	cpd:C01606
chebi:30043	cpd:C06337
chebi:29780	cpd:C00885
chebi:16872	cpd:C03147
chebi:18325	cpd:C02730
chebi:36460	cpd:C02214
chebi:17205	cpd:C03063
chebi:15685	cpd:C04462
chebi:30719	cpd:C02226
chebi:15594	cpd:C02123
chebi:30623	cpd:C00209
chebi:13086	cpd:C00441
chebi:35757	cpd:C00060
chebi:30089	cpd:C00033
chebi:18172	cpd:C06108
chebi:16237	cpd:C03077
chebi:28440	cpd:C06207
chebi:16169	cpd:C00544
chebi:17612	cpd:C01161
